Month,No. of Banks live on UPI,Volume (in Mn),Value (in Cr.),Avg_Txn_Value_INR,MoM_Growth_Volume_%,MoM_Growth_Value_%
Aug-25,688,20008.31,2485472.91,1242.220,2.776,-? 0.918
Jul-25,684,19467.95,2508498.09,1288.527,5.833,? 4.350
Jun-25,675,18395.01,2403930.69,1306.838,-1.512,-? 4.390
May-25,673,18677.46,2514297.01,1346.166,4.382,? 4.984
Apr-25,668,17893.42,2394925.87,1338.439,-2.230,-? 3.322
Mar-25,661,18301.51,2477221.61,1353.561,13.630,? 12.781
Feb-25,653,16106.19,2196481.69,1363.750,-5.235,-? 6.455
Jan-25,647,16996,2348037.12,1381.523,1.590,? 1.004
Dec-24,641,16730.01,2324699.91,1389.539,8.061,? 7.865
Nov-24,637,15482.02,2155187.4,1392.058,-6.650,-? 8.283
Oct-24,632,16584.97,2349821.46,1416.838,10.260,? 13.848
Sep-24,622,15041.75,2063994.71,1372.177,0.526,? 0.158
Aug-24,608,14963.05,2060735.57,1377.216,3.654,-? 0.172
Jul-24,605,14435.55,2064292.41,1430.006,3.964,? 2.850
Jun-24,602,13885.14,2007081.2,1445.489,-1.074,-? 1.851
May-24,598,14035.84,2044937.05,1456.940,5.501,? 4.096
Apr-24,583,13303.99,1964464.52,1476.598,-1.012,-? 0.702
Mar-24,572,13440,1978353.23,1471.989,11.050,? 8.233
Feb-24,560,12102.67,1827869.35,1510.303,-0.822,-? 0.718
Jan-24,550,12203.02,1841083.97,1508.712,1.521,? 0.995
Dec-23,522,12020.23,1822949.42,1516.568,6.986,? 4.783
Nov-23,516,11235.29,1739740.61,1548.461,-1.521,? 1.397
Oct-23,505,11408.79,1715768.34,1503.900,8.082,? 8.653
Sep-23,492,10555.69,1579133.18,1496.002,-0.287,? 0.165
Aug-23,484,10586.02,1576536.56,1489.263,6.236,? 2.804
Jul-23,473,9964.61,1533536.44,1538.983,6.744,? 3.936
Jun-23,458,9335.06,1475464.26,1580.562,-0.851,-? 0.919
May-23,445,9415.19,1489145.44,1581.641,6.227,? 5.202
